id,title,environments,aliases,owners,primary_url,department,notes,pope_tech,errors,active,cms
1429,Graduate Assistant Unionization Effort at UMN,prod,"gradunionization.stg.umn.edu, gradunionization.dev.umn.edu",irsfe008,gradunionization.umn.edu,OHR - Office of Human Resources,None,False,,False,Drupal
1430,HR Leads,"dev, test, prod","hrleads.stg.umn.edu, hrleads.dev.umn.edu, hrleads.dl9.umn.edu",payet003,hrleads.umn.edu,OHR - Office of Human Resources,None,False,,False,Drupal
1431,University of Minnesota Leadership Challenges,"test, prod","erveca.stg.umn.edu, erveca.dev.umn.edu, erveca.dl9.umn.edu",oalepova,erveca.ltd.umn.edu,OHR - Office of Human Resources,None,False,,False,Drupal
