Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
"National Resource Center for Refugees, Immigrants, and Migrants (NRC-RIM)","test, prod","nrcrim.dev.umn.edu, nrcrim.stg.umn.edu, nrcrim.org, www.nrcrim.org, nrcrim.umn.edu","dlv, slw",nrcrim.umn.edu,AAP - VP of Academic Affairs/Provost,
Northstar STEM Alliance,"dev, test, prod","northstarstem-d8.dev.umn.edu, northstarstem-d8.stg.umn.edu, northstarstem-d8.prd.umn.edu, northstarstem.org, www.northstarstem.org","meyer150, lang0925, swart113",northstarstem.umn.edu,AAP - VP of Academic Affairs/Provost,
k12 Learner Support,"dev, test, prod","k12learnersupport.dev.umn.edu, k12learnersupport.stg.umn.edu, k12learnersupport.umn.edu","meyer150, lang0925, swart113",k12learnersupport.umn.edu,AAP - VP of Academic Affairs/Provost,
Community-University Health Care Center,"dev, test, prod","cuhcc-d8.dev.umn.edu, cuhcc-d8.stg.umn.edu, cuhcc.umn.edu, www.cuhcc.umn.edu","dlv, broek023, fuchs142, incex011",cuhcc.umn.edu,AAP - VP of Academic Affairs/Provost,
Hennepin-University Partnership,"dev, test, prod","hup-d8.dev.umn.edu, hup-d8.stg.umn.edu, www.hup.umn.edu, hup.umn.edu","meyer150, lang0925, swart113",hup.umn.edu,AAP - VP of Academic Affairs/Provost,
COURSE REVIEW PORTAL,"dev, test, prod","crp-d8.dev.umn.edu, crp-d8.stg.umn.edu, crp-d8.prd.umn.edu, www.crp.umn.edu","meyer150, lang0925, swart113",crp.umn.edu,AAP - VP of Academic Affairs/Provost,
Resilient Communities Project,"dev, test, prod","rcp-d8.dev.umn.edu, rcp-d8.stg.umn.edu, www.rcp.umn.edu, rcp-d8.prd.umn.edu","meyer150, lang0925, swart113",rcp.umn.edu,AAP - VP of Academic Affairs/Provost,
University Honors Program,"dev, test, prod","honors-d8.dev.umn.edu, honors-d8.stg.umn.edu, honors-d8.prd.umn.edu, www.honors.umn.edu, natschol.umn.edu, uhsa.umn.edu, honors.umn.edu","meyer150, lang0925, swart113",honors.umn.edu,AAP - VP of Academic Affairs/Provost,
Consortium on Aging,prod,"aging-consortium.dev.umn.edu, aging-consortium.stg.umn.edu, aging-consortium.umn.edu",dlv,aging-consortium.umn.edu,AAP - VP of Academic Affairs/Provost,
Molecular and Cellular Therapeutics,prod,"molecular-cellular-therapeutics.dev.umn.edu, molecular-cellular-therapeutics.stg.umn.edu",dlv,molecular-cellular-therapeutics.umn.edu,AAP - VP of Academic Affairs/Provost,
Center for Global Health & Social Responsibility,"dev, test, prod","www.globalhealthcenter.umn.edu, globalhealthcenter-d8.dev.umn.edu, globalhealthcenter-d8.stg.umn.edu","dlv, broek023, fuchs142, incex011, apendlet",globalhealthcenter.umn.edu,AAP - VP of Academic Affairs/Provost,
Teaching Support,"dev, test, prod","teachingsupport.dev.umn.edu, teachingsupport.stg.umn.edu, teachingsupport.dl8.umn.edu, keep-teaching.umn.edu","kellie, meyer150, lang0925",teachingsupport.umn.edu,AAP - VP of Academic Affairs/Provost,
Share the Air,"dev, test, prod","sharetheair-d8.dev.umn.edu, sharetheair-d8.stg.umn.edu, sharetheair.umn.edu, www.sharetheair.umn.edu","meyer150, lang0925, swart113",sharetheair.umn.edu,AAP - VP of Academic Affairs/Provost,
Masonic Institute for the Developing Brain,"dev, test, prod","developingbrain.dev.umn.edu, developingbrain.umn.edu, midb.umn.edu, midb.dev.umn.edu, midb.stg.umn.edu, cnbd.umn.edu, www.cnbd.umn.edu, nametmsrobot.umn.edu","dlv, fuchs142, incex011, broek023, moria116, nuebl001, marks265",midb.umn.edu,AAP - VP of Academic Affairs/Provost,
Office of the Senior Vice President for Finance and Operations,"dev, test, prod","svpfo-d8.dev.umn.edu, svpfo-d8.stg.umn.edu, svpfo-d8.prd.umn.edu, evpfo.umn.edu","meyer150, lang0925, swart113",svpfo.umn.edu,AAP - VP of Academic Affairs/Provost,
