Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Online NEW,"dev, test, prod","online-d9.dev.umn.edu, online-d9.stg.umn.edu, www.online.umn.edu, digitalcampus.umn.edu, www.digitalcampus.umn.edu, digitalcampus2.umn.edu, keep-learning.umn.edu, online.prd.umn.edu, online-d9.prd.umn.edu, online.dev.umn.edu, online.stg.umn.edu, online.umn.edu",bcross,online.umn.edu,CCAPS - Continuing and Professional Studies,
UAPS e-Handbook,"test, prod","uapshandbook.dl8.umn.edu, uapshandbook.dev.umn.edu, uapshandbook.stg.umn.edu",joh04979,uapshandbook.umn.edu,CCAPS - Continuing and Professional Studies,
MELP Student Handbook,"test, prod","melpstudenthandbook.dl8.umn.edu, melpstudenthandbook.stg.umn.edu, melpstudenthandbook.umn.edu",sanc0104,melpstudenthandbook.umn.edu,CCAPS - Continuing and Professional Studies,
CCAPS Intranet,"dev, test, prod","intranet-ccaps.dev.umn.edu, intranet-ccaps.stg.umn.edu, intranet.ccaps.umn.edu",bcross,intranet.ccaps.umn.edu,CCAPS - Continuing and Professional Studies,
College of Design,"dev, test, prod","design.dev.umn.edu, design.stg.umn.edu, design.prd.umn.edu, www.design.umn.edu, design.cdes.umn.edu, design-n.design.umn.edu, www.cdes.umn.edu, cdes.umn.edu, apparel.design.umn.edu, arch.design.umn.edu, graphic.design.umn.edu, goldstein.design.umn.edu, housing.design.umn.edu, humanfactors.design.umn.edu, interior.design.umn.edu, landarch.design.umn.edu, product.design.umn.edu, retail.design.umn.edu, dha.design.umn.edu, designcenter.design.umn.edu, wtl.design.umn.edu, csbr.design.umn.edu, hsph.design.umn.edu, rp.design.umn.edu, blog.design.umn.edu, wtl.umn.edu, csbr.umn.edu, arch.cdes.umn.edu, cdh.design.umn.edu, ddc.design.umn.edu, directory.design.umn.edu, dt.design.umn.edu, faculty.design.umn.edu, fashionshow.design.umn.edu, food.design.umn.edu, worldheritage.cdes.umn.edu, worldheritage.design.umn.edu, hokanson.design.umn.edu, intersections.design.umn.edu, portcities.design.umn.edu, resilience.umn.edu, vr.design.umn.edu, www.csbr.umn.edu, www.designcenter.umn.edu, designcenter.umn.edu","dougl361, angus025, mdeklerk, graves",design.umn.edu,CDES - College of Design,
"Sport, Exercise, and Performance Psychology Laboratory",prod,"sepplab.stg.umn.edu, sepplab.dev.umn.edu",sweet006,sepplab.umn.edu,CEHD - College of Education & Human Development,
Center for Advanced Studies in Child Welfare,"dev, test, prod","cascw.dev.umn.edu, cascw.stg.umn.edu, cascw.umn.edu, www.cascw.umn.edu",nich0121,cascw.umn.edu,CEHD - College of Education & Human Development,
Child Development for Child Welfare,"dev, test, prod","cd4cw.dev.umn.edu, cd4cw.stg.umn.edu","baile045, jeff, jbehr, turg0018",cd4cw.umn.edu,CEHD - College of Education & Human Development,
Media Analysis Research in International Sport,"dev, prod","maris.stg.umn.edu, maris.dev.umn.edu",jeff,maris.umn.edu,CEHD - College of Education & Human Development,
Disability and WELLness Laboratory (DWELL),"dev, prod","dwell.dev.umn.edu, dwell.stg.umn.edu",jeff,dwell.umn.edu,CEHD - College of Education & Human Development,
Person-Centered Thinking and Planning,"dev, test, prod","pctp-d9.dev.umn.edu, pctp-d9.stg.umn.edu, pctp.prd.umn.edu, www.pctp.umn.edu",weste050,pctp.umn.edu,CEHD - College of Education & Human Development,
Human Sensorimotor Control Lab,"dev, test, prod","hsc.dev.umn.edu, hsc.stg.umn.edu, hsc-d9.prd.umn.edu, www.hsc.umn.edu","jeff, jbehr, turg0018",hsc.umn.edu,CEHD - College of Education & Human Development,
NeuroRehabilitation Across the Lifespan Laboratory,prod,"neural.dev.umn.edu, neural.stg.umn.edu","sweet006, jbehr, turg0018",neural.umn.edu,CEHD - College of Education & Human Development,
Stress and Trauma Lab,"test, prod","stresslab.dl8.umn.edu, stresslab.dev.umn.edu, stresslab.stg.umn.edu",smoeller,stresslab.psych.umn.edu,CEHD - College of Education & Human Development,
Check and Connect Trainer Resources,"dev, test, prod","tttresources-checkandconnect.dev.umn.edu, tttresources-checkandconnect.stg.umn.edu, tttresources.checkandconnect.umn.edu, www.tttresources.checkandconnect.umn.edu, tttresources.checkandconnect.prd.umn.edu",weste050,tttresources.checkandconnect.umn.edu,CEHD - College of Education & Human Development,
Person-Centered Approaches in Mental Health,"dev, test, prod","pcmh-d9.dev.umn.edu, pcmh-d9.stg.umn.edu, www.pcmh.umn.edu",weste050,pcmh.umn.edu,CEHD - ICI - Institute on Community Integration,
MN LEND,"dev, test, prod","lend.dev.umn.edu, lend.stg.umn.edu, lend.prd.umn.edu, lend.umn.edu, www.lend.umn.edu",weste050,lend.umn.edu,CEHD - ICI - Institute on Community Integration,
Consumer Behavior and Marketing Lab,prod,"behaviorlab-cfans.dev.umn.edu, behaviorlab-cfans.stg.umn.edu",lamxx025,behaviorlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Insect Club,prod,"insectclub-cfans.dev.umn.edu, insectclub-cfans.stg.umn.edu",lamxx025,insectclub.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
NatCap TEEMS,prod,"natcapteems.dev.umn.edu, natcapteems.stg.umn.edu",lamxx025,natcapteems.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Organic Agriculture,prod,"organicag.dev.umn.edu, organicag.stg.umn.edu, organicag.umn.edu",lamxx025,organicag.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cognitive Lab,prod,"cognitivelab.cfans.umn.edu, cognitivelab-cfans.dev.umn.edu, cognitivelab-cfans.stg.umn.edu",lamxx025,cognitivelab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Integrated Cropping Systems Weed Science,prod,"weedscience-cfans.dev.umn.edu, weedscience-cfans.stg.umn.edu, weedscience.cfans.umn.edu",lamxx025,weedscience.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Virology Lab,prod,"plantvirologylab-cfans.dev.umn.edu, plantvirologylab-cfans.stg.umn.edu",lamxx025,plantvirologylab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fei Yang Lab,prod,"fyanglab-cfans.dev.umn.edu, fyanglab-cfans.stg.umn.edu",lamxx025,fyanglab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Hill Gallant Lab,prod,"hillgallantlab-cfans.dev.umn.edu, hillgallantlab-cfans.stg.umn.edu",lamxx025,hillgallantlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fungal Symposium,prod,"fungalsymposium.dev.umn.edu, fungalsymposium.stg.umn.edu",lamxx025,fungalsymposium.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Pathology,"dev, prod","forestpathology-cfans.dev.umn.edu, forestpathology-cfans.stg.umn.edu, forestpathology-cfans.prd.umn.edu",lamxx025,forestpathology.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Aphid Alert,prod,"aphidalert-dl9.dev.umn.edu, aphidalert-dl9.stg.umn.edu, aphidalert.dl9.umn.edu",lamxx025,aphidalert.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Remote Sensing of Water Resources,"dev, test, prod","water-rs.d9.umn.edu, water-rs-d9.dev.umn.edu, water-rs-d9.stg.umn.edu, water-rs-d9.prd.umn.edu",lamxx025,water.rs.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Great Lakes Silviculture Library,"dev, test, prod","silvlib-cfans.dev.umn.edu, silvlib-cfans.stg.umn.edu, silvlib-cfans.dl9.umn.edu, www.silvlib.cfans.umn.edu",lamxx025,silvlib.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
vitisgen3,prod,"vitisgen3.dev.umn.edu, vitisgen3.stg.umn.edu",lamxx025,vitisgen3.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Zhao Lab,prod,"zhaolab-cfans.dev.umn.edu, zhaolab-cfans.stg.umn.edu",lamxx025,zhaolab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
InSTePP,prod,"instepp-d9.dev.umn.edu, instepp-d9.stg.umn.edu, www.instepp.umn.edu, instepp.dl9.umn.edu, instepp-d9.umn.edu",lamxx025,instepp.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MN Tree Inspector,prod,"mntreeinspector-d9.stg.umn.edu, mntreeinspector-d9.dev.umn.edu",lamxx025,mntreeinspector.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
BBE2201 Renewable Energy and the Environment,"test, prod","bbe2201.stg.umn.edu, bbe2201.dev.umn.edu, bbe2201.dl9.umn.edu","schmi071, lamxx025",bbe2201.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Galatowitsch Group,"test, prod","galatowitschgroup.stg.umn.edu, galatowitschgroup.dev.umn.edu, galatowitschgroup.dl9.umn.edu",lamxx025,galatowitschgroup.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Season Watch,prod,"seasonwatch.dev.umn.edu, seasonwatch.stg.umn.edu","and04598, lamxx025, rebeccam",seasonwatch.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Firpo Lab,prod,"firpolab.dev.umn.edu, firpolab.stg.umn.edu",lamxx025,oliverafirpolab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ubbink Lab,prod,"ubbinklab-cfans.dev.umn.edu, ubbinklab-cfans.stg.umn.edu",lamxx025,ubbinklab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Bioengineering in Specialty Crops,prod,"besc.dev.umn.edu, besc.stg.umn.edu","mabbey, lamxx025",besc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ag Business Club,prod,"abc.dev.umn.edu, abc.stg.umn.edu",lamxx025,abc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Karwan Lab,"dev, test, prod","karwanlab.stg.umn.edu, karwanlab.dev.umn.edu, karwanlab.dl9.umn.edu, karwanlab.cfans.umn.edu",lamxx025,karwanlab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Silviculture Lab,"dev, test, prod","silvalab.stg.umn.edu, silvalab.dev.umn.edu, silvalab.dl9.umn.edu, silvalab.cfans.umn.edu",lamxx025,silvalab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Food Analysis Textbook,prod,"foodanalysistextbook.dev.umn.edu, foodanalysistextbook.stg.umn.edu, www-new.foodsci.purdue.edu",lamxx025,foodanalysistextbook.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
McCaghey Lab,prod,"mccagheylab-cfans.dev.umn.edu, mccagheylab-cfans.stg.umn.edu",lamxx025,mccagheylab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sustainable Akumal,"test, prod","sustainableakumal.stg.umn.edu, sustainableakumal.dev.umn.edu, sustainableakumal.dl9.umn.edu","lamxx025, olayi001, newma004",sustainableakumal.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
winterturf.umn.edu,prod,"winterturf.dev.umn.edu, winterturf.stg.umn.edu",lamxx025,winterturf.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Waterhouse Lab,prod,"waterhouselab-cfans.dev.umn.edu, waterhouselab-cfans.stg.umn.edu",lamxx025,waterhouselab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fulton Lab,prod,"fultonlab-cfans.dev.umn.edu, fultonlab-cfans.stg.umn.edu",lamxx025,fultonlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
SafePork,prod,"safepork.dev.umn.edu, safepork.stg.umn.edu",lamxx025,safepork.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
GMO ERA Project,prod,"gmoera.dl9.umn.edu, gmoera-dl9.dev.umn.edu, gmoera-dl9.stg.umn.edu, www.gmoera.umn.edu",lamxx025,gmoera.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Soybean Research Center,prod,"soybeanresearchcenter.dev.umn.edu, soybeanresearchcenter.stg.umn.edu",lamxx025,soybeanresearchcenter.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Our SSM Capstone,"test, prod","capstonessm-cfans.dev.umn.edu, capstonessm-cfans.stg.umn.edu",lamxx025,capstonessm.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
GEMS,"dev, test, prod","gems.stg.umn.edu, gems.dev.umn.edu","lamxx025, parso410, dewet036, dewet039, munde026, shand095",gems.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Norman Borlaug,prod,"borlaug-cfans.dev.umn.edu, borlaug-cfans.stg.umn.edu, borlaug-cfans.dl9.umn.edu, www.borlaug.cfans.umn.edu",lamxx025,borlaug.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
giscourses.cfans.umn.edu,prod,"giscourses-cfans.dev.umn.edu, giscourses-cfans.stg.umn.edu, giscourses-cfans.dl9.umn.edu, www.giscourses.cfans.umn.edu",lamxx025,giscourses.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Miscanthus,prod,"miscanthus-cfans.dev.umn.edu, miscanthus-cfans.stg.umn.edu, miscanthus-cfans.dl9.umn.edu, www.miscanthus.cfans.umn.edu",lamxx025,miscanthus.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Public Gardens of Minnesota,prod,"mngardens-dl9.dev.umn.edu, mngardens-dl9.stg.umn.edu, mngardens-horticulture.dl9.umn.edu",lamxx025,mngardens.horticulture.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Stormwater Education,prod,"stormwater-dl9.dev.umn.edu, stormwater-dl9.stg.umn.edu, stormwater.dl9.umn.edu, www.stormwater.umn.edu",lamxx025,stormwater.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sustainable Forests Education Cooperative,"dev, test, prod","sfec-cfans.dev.umn.edu, sfec-cfans.stg.umn.edu, sfec-cfans.prd.umn.edu, sfec-cfans.dl9.umn.edu",lamxx025,sfec.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Onsite Sewage Treatment Program,"dev, test, prod","septic.dev.umn.edu, septic.stg.umn.edu, septic-d9.prd.umn.edu, www.septic.umn.edu",lamxx025,septic.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Diseases of Forest and Shade Trees,prod,"treediseases.cfans.dev.umn.edu, treediseases.cfans.stg.umn.edu, treediseases.cfans.dl9.umn.edu, www.treediseases.cfans.umn.edu",lamxx025,treediseases.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Minnesota Invasive Terrestrial Plants and Pests Center,"dev, test, prod","mitppc-d9.stg.umn.edu, mitppc-d9.dev.umn.edu, mitppc-d9.dl9.umn.edu, www.mitppc.umn.edu","lamxx025, brow3817",mitppc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
smithlab,"test, prod","smithlab.cfans.stg.umn.edu, smithlab.cfans.dev.umn.edu, smithlab.cfans.dl9.umn.edu","neyha001, lamxx025",smithlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Atmospheric Chemistry,prod,"atmoschem.dev.umn.edu, atmoschem.stg.umn.edu, atmoschem.dl9.umn.edu, www.atmoschem.umn.edu",lamxx025,atmoschem.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CINRAM,prod,"cinram.dev.umn.edu, cinram.stg.umn.edu, cinram-dl9.umn.edu, www.cinram.umn.edu",lamxx025,cinram.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Soil Testing Laboratory,"dev, test, prod","soiltest.stg.umn.edu, soiltest.dev.umn.edu, soiltest.dl9.umn.edu",lamxx025,soiltest.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Native Nutrition,prod,"nativenutrition.dev.umn.edu, nativenutrition.stg.umn.edu",lamxx025,nativenutrition.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Variety Trials,prod,"varietytrials.dev.umn.edu, varietytrials.stg.umn.edu",lamxx025,varietytrials.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Environmental Sciences, Policy and Management (ESPM)","dev, test, prod","espm.dev.umn.edu, espm.stg.umn.edu, www.espm.umn.edu, espm.prd.umn.edu",lamxx025,espm.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MISA,prod,"www.misa.umn.edu, misa.dev.umn.edu, misa.stg.umn.edu, misa.dl9.umn.edu",lamxx025,misa.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forever Green,prod,"forevergreen.dev.umn.edu, forevergreen.stg.umn.edu, forevergreen.dl9.umn.edu, www.forevergreen.umn.edu",lamxx025,forevergreen.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ranjan Lab,prod,"ranjanlab-cfans.dev.umn.edu, ranjanlab-cfans.stg.umn.edu, ranjanlab.cfans.umn.edu",lamxx025,ranjanlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Young Lab,prod,"younglab-cfans-dl9.dev.umn.edu, younglab-cfans-dl9.stg.umn.edu, younglab-cfans.dl9.umn.edu, www.younglab.cfans.umn.edu",lamxx025,younglab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Breeding Center,prod,"plantbreed.dev.umn.edu, plantbreed.stg.umn.edu",lamxx025,plantbreed.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
FruitEdge,prod,"www.fruitedge.umn.edu, fruitedge-dl9.umn.edu, fruitedge-dl9.dev.umn.edu, fruitedge-dl9.stg.umn.edu, fruitedge.umn.edu",lamxx025,fruitedge-dl9.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Stakman-Borlaug Center (SBC) for Sustainable Plant Health,prod,"sbc.umn.edu, www.sbc.umn.edu, sbc.dev.umn.edu, sbc.stg.umn.edu, sbc.dl9.umn.edu",lamxx025,sbc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
VegEdge,"test, prod","vegedge.umn.edu, www.vegedge.umn.edu, vegedge.dev.umn.edu, vegedge.stg.umn.edu, vegedge.dl9.umn.edu",lamxx025,vegedge.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Biometeorology Group,prod,"biometeorology.umn.edu, www.biometeorology.umn.edu, biometeorology.dev.umn.edu, biometeorology.stg.umn.edu, biometeorology.dl9.umn.edu",lamxx025,biometeorology.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Remote Sensing and Geospatial Analysis Laboratory,prod,"rs-dl9.dev.umn.edu, rs-dl9.stg.umn.edu, rs-dl9.umn.edu, www.knightlab.cfans.umn.edu, knightlab.cfans.umn.edu, rsl.gis.umn.edu, www.rsl.gis.umn.edu, minnesotaview.rs.umn.edu, minnesotaview.umn.edu, uas.rs.umn.edu, uas.umn.edu, rscc.umn.edu, rs.umn.edu",lamxx025,rs.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
IPM World,prod,"ipmworld.dev.umn.edu, ipmworld.stg.umn.edu, ipmworld.dl9.umn.edu, www.ipmworld.umn.edu",lamxx025,ipmworld.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Small Horticultural Farm Resources,prod,"smfarm-cfans.dev.umn.edu, smfarm-cfans.stg.umn.edu, smfarm-cfans.dl9.umn.edu, www.smfarm.cfans.umn.edu",lamxx025,smfarm.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Anderson Lab,prod,"andersonlab-cfans.dev.umn.edu, andersonlab-cfans.stg.umn.edu",lamxx025,andersonlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Ecology Lab,prod,"forestecology.dev.umn.edu, forestecology.stg.umn.edu, forestecology.dl9.umn.edu, www.forestecology.cfans.umn.edu",lamxx025,forestecology.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Applied Weeds,prod,"appliedweeds.dev.umn.edu, appliedweeds.stg.umn.edu, appliedweeds.dl9.umn.edu, www.appliedweeds.cfans.umn.edu",lamxx025,appliedweeds.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Applied Plant Sciences Graduate Program,"dev, test, prod","appliedplantsciences.dev.umn.edu, appliedplantsciences.stg.umn.edu, appliedplantsciences.prd.umn.edu, www.appliedplantsciences.umn.edu",lamxx025,appliedplantsciences.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Disease Clinic,"dev, test, prod","pdc.dev.umn.edu, pdc.stg.umn.edu, www.pdc.umn.edu",lamxx025,pdc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Graduate Program in Land and Atmospheric Science,"dev, test, prod","laas.dev.umn.edu, laas.stg.umn.edu, laas.prd.umn.edu, www.laas.umn.edu",lamxx025,laas.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Organic Risk Management,prod,"organicriskmanagement.dev.umn.edu, organicriskmanagement.stg.umn.edu, organicriskmanagement.dl9.umn.edu, www.organicriskmanagement.umn.edu",lamxx025,organicriskmanagement.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Quality Counts,prod,"qualitycounts.dev.umn.edu, qualitycounts.stg.umn.edu, qualitycounts.dl9.umn.edu, www.qualitycounts.umn.edu",lamxx025,qualitycounts.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Animal Gene,prod,"animalgene.dl9.umn.edu, animalgene.dev.umn.edu, animalgene.stg.umn.edu, www.animalgene.umn.edu",lamxx025,animalgene.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Insect Collection,prod,"insectcollection-dl9.dev.umn.edu, insectcollection-dl9.stg.umn.edu, www.insectcollection.umn.edu, insectcollection.dl9.umn.edu, insectcollection.umn.edu",lamxx025,insectcollection.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Erosion and Stormwater Management Certification Program,"dev, test, prod","erosion.dev.umn.edu, erosion.stg.umn.edu, www.erosion.umn.edu, erosion.prd.umn.edu",lamxx025,erosion.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Healthy Foods, Healthy Lives","dev, test, prod","hfhl.dev.umn.edu, hfhl.stg.umn.edu, www.hfhl.umn.edu, hfhl.prd.umn.edu",lamxx025,hfhl.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Bee Lab,"dev, test, prod","beelab.dev.umn.edu, beelab.stg.umn.edu, www.beelab.umn.edu, beelab.prd.umn.edu, beesquad.umn.edu, www.beesquad.umn.edu",lamxx025,beelab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MAST,"dev, test, prod","mast-cfans.dev.umn.edu, mast-cfans.stg.umn.edu, mast-cfans.prd.umn.edu, www.mast.cfans.umn.edu",lamxx025,mast.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
NRSM,"dev, test, prod","nrsm.dev.umn.edu, nrsm.stg.umn.edu, www.nrsm.umn.edu, nrsm.prd.umn.edu",lamxx025,nrsm.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Water Resources Science Graduate Program,"dev, test, prod","wrs.dev.umn.edu, wrs.stg.umn.edu, www.wrs.umn.edu, wrs.prd.umn.edu",lamxx025,wrs.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Rosemount Research and Outreach Center,"dev, test, prod","rroc-cfans.dev.umn.edu, rroc-cfans.stg.umn.edu",lamxx025,rroc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Midwest Dairy Foods Research Center,"dev, test, prod","midwestdairy.dl9.umn.edu, midwestdairy.dev.umn.edu, midwestdairy.stg.umn.edu, www.midwestdairy.umn.edu",lamxx025,midwestdairy.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CESU,prod,"cesu.dl8.umn.edu, cesu.dev.umn.edu, cesu.stg.umn.edu",lamxx025,cesu.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CLAWS,prod,"www.claws.umn.edu, claws.dev.umn.edu, claws.stg.umn.edu, claws.dl9.umn.edu, claws.umn.edu",lamxx025,claws.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
NWROC,"dev, test, prod","www.nwroc.umn.edu, nwroc.dev.umn.edu, nwroc.stg.umn.edu, nwroc.prd.umn.edu",lamxx025,nwroc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cereal Lab,prod,"cereallab-cfans.dev.umn.edu, cereallab-cfans.stg.umn.edu",lamxx025,cereallab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Conservation Sciences Graduate Program,"dev, test, prod","www.conssci.umn.edu, conssci.dev.umn.edu, conssci.stg.umn.edu, conssci.prd.umn.edu",lamxx025,conssci.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Career & Internship Services,prod,"www.careerhelp.umn.edu, careerhelp.dl9.umn.edu, careerhelp-dl9.dev.umn.edu, careerhelp-dl9.stg.umn.edu",lamxx025,careerhelp.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
WRC,"dev, test, prod","wrc.dev.umn.edu, wrc.stg.umn.edu, www.wrc.umn.edu, wrc.prd.umn.edu, wst.umn.edu, www.wst.umn.edu",lamxx025,wrc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
BBE,"dev, test, prod","bbe.dev.umn.edu, bbe.stg.umn.edu, bbe.prd.umn.edu, www.bbe.umn.edu",lamxx025,bbe.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
North Central Research and Outreach Center,"dev, test, prod","ncroc-cfans.dev.umn.edu, ncroc-cfans.stg.umn.edu, ncroc-cfans.prd.umn.edu",lamxx025,ncroc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Southern Research and Outreach Center,"dev, test, prod","sroc-cfans.dev.umn.edu, sroc-cfans.stg.umn.edu, www.sroc.cfans.umn.edu, sroc-cfans.prd.umn.edu",lamxx025,sroc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Protein Innovation Center,"test, prod","ppic.stg.umn.edu, ppic.dev.umn.edu, ppic.dl8.umn.edu, ppic.cfans.umn.edu",lamxx025,ppic.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
khokhanilab.cfans.umn.edu,prod,"khokhanilab-cfans.dev.umn.edu, khokhanilab-cfans.stg.umn.edu","khokh015, lamxx025",khokhanilab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Grand Challenge Research Project,"test, prod","www.phenology.umn.edu, phenology.stg.umn.edu, phenology.dev.umn.edu, phenology.dl8.umn.edu",lamxx025,phenology.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Montgomery Lab,"test, prod","ecophys.stg.umn.edu, ecophys.dev.umn.edu, ecophys.dl8.umn.edu, ecophys.cfans.umn.edu",lamxx025,ecophys.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Mesce Lab,"test, prod","mescelab.stg.umn.edu, mescelab.dev.umn.edu, mescelab.dl8.umn.edu",lamxx025,mescelab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forester Lab,"test, prod","foresterlab.stg.umn.edu, foresterlab.dev.umn.edu, foresterlab.dl8.umn.edu",lamxx025,foresterlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Trees,"test, prod","www.trees.umn.edu, trees.stg.umn.edu, trees.dev.umn.edu, trees.dl8.umn.edu, trees.umn.edu, mntreesource.umn.edu, www.mntreesource.umn.edu",lamxx025,trees.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
